tick_production_viande,tick_production_legume,tick_production_coton,tick_consommation_viande,tick_consommation_legume,tick_consommation_coton,tick_emission_viande,tick_emission_legume,tick_emission_coton,tick_emission_total,tick_surface_used_viande,tick_surface_used_legume,tick_surface_used_coton,tick_surface_manque_viande,tick_surface_manque_legume,tick_surface_manque_coton,tick_penurie_viande,tick_penurie_legume,tick_penurie_coton,tick_stock_viande,tick_stock_legume,tick_stock_coton
18343.92,104650.56,0.0,18342.09,104640.12,0.0,152071.09679999997,27209.1456,0.0,225895.85199999996,5392962.119999999,69069.3696,0.0,0.0,0.0,0.0,1.8299999999981083,10.440000000002328,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18342.09,104640.12,0.0,18342.09,104640.12,0.0,152055.92609999998,27206.4312,0.0,225873.3165,5392424.115,69062.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18422.610000000004,105099.47999999998,0.0,18382.350000000002,104869.79999999999,0.0,152723.43690000003,27325.864799999996,0.0,226864.8785,5416096.335000001,69365.6568,0.0,0.0,0.0,0.0,40.26000000000204,229.67999999999302,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
